type_bin	size_bin	wpi_country_from	wpi_country_to	GroupCount	mean_sog	mean_voyage_time	total_co2_million_tonnes	domestic_fl	trade_type	sids_fl	ldc_fl	year
4	5	'China'	'Mexico'	85	16.85865036	18.26960784	0.445717399	0	4	0	0	2012
4	4	'China'	'United States of America'	139	16.93991335	13.02158273	0.44484702	0	4	1	1	2012
4	6	'China'	'Egypt'	67	16.52234568	18.20646766	0.44384172	0	4	1	0	2012
4	6	'United States of America'	'Taiwan'	78	18.0633821	14.72115385	0.443450253	0	3	1	1	2012
4	5	'Egypt'	'United States of America'	69	18.78972998	16.07548309	0.442661697	0	4	0	1	2012
4	4	'Brazil'	'Singapore'	79	16.63957362	25.10337553	0.434023814	0	1	1	0	2012
4	7	'China'	'China'	848	14.02694203	1.824538129	0.428986295	1	4	0	1	2012
1	2	'China'	'China'	3811	9.758997485	2.838451444	0.423818822	1	3	1	0	2012
4	6	'Egypt'	'Netherlands'	137	17.44715509	8.570255474	0.42184309	0	2	1	0	2012
1	4	'Indonesia'	'Indonesia'	796	8.488237889	7.832391122	0.417956631	1	3	0	0	2012
4	1	'Japan'	'Japan'	2865	11.41518143	2.638583479	0.410133558	1	3	0	1	2012
4	4	'Japan'	'Panama'	71	18.50921748	18.91138498	0.410014765	0	1	0	0	2012
4	5	'Japan'	'United States of America'	80	18.5168701	13.06041667	0.402521544	0	4	1	0	2012
4	3	'Brazil'	'Brazil'	1344	12.2367085	3.020399306	0.40077462	1	3	0	1	2012
4	2	'United States of America'	'United States of America'	1074	15.14038342	2.297369646	0.396157306	1	3	0	0	2012
4	5	'United States of America'	'Canada'	375	14.94526054	3.827111111	0.3913584	0	2	1	1	2012
1	6	'Brazil'	'Singapore'	56	11.59062136	45.34895833	0.382026847	0	1	0	1	2012
4	5	'Singapore'	'Egypt'	86	17.53004125	13.99176357	0.375638054	0	2	0	1	2012
1	5	'Japan'	'Australia'	328	11.61131878	15.97129065	0.373572557	0	4	0	0	2012
4	5	'Saudi Arabia'	'Egypt'	240	15.99013821	5.086458333	0.373395625	0	1	0	0	2012
4	2	'Indonesia'	'Indonesia'	1365	10.69875795	3.572435897	0.371509359	1	4	1	1	2012
1	3	'Indonesia'	'Indonesia'	1307	7.5076238	5.778914818	0.371103302	1	4	1	1	2012
4	7	'Singapore'	'Egypt'	61	17.54074497	13.05122951	0.35706854	0	1	1	1	2012
1	6	'Brazil'	'Brazil'	66	9.313694417	32.61805556	0.355865112	1	4	0	0	2012
1	4	'Singapore'	'China'	535	11.3079822	8.280685358	0.355060699	0	3	1	0	2012
4	1	'China'	'Japan'	1900	13.12191143	3.021951754	0.351422441	0	4	0	0	2012
4	4	'United States of America'	'Egypt'	83	18.1882672	14.37700803	0.348654432	0	1	0	0	2012
1	4	'China'	'Panama'	155	12.27890936	29.44489247	0.346810734	0	4	0	1	2012
